#GBE_ID	pop
BIN20446	e_asian
BIN20446	related
BIN20446	others
BIN20447	white_british
BIN20447	non_british_white
BIN20447	african
BIN20447	s_asian
BIN20447	e_asian
BIN20447	related
BIN20447	others
BIN20448	white_british
BIN20448	non_british_white
BIN20448	african
BIN20448	s_asian
BIN20448	e_asian
BIN20448	related
BIN20448	others
BIN20449	white_british
BIN20449	non_british_white
BIN20449	african
BIN20449	s_asian
BIN20449	e_asian
BIN20449	related
BIN20449	others
BIN20450	white_british
BIN20450	non_british_white
BIN20450	african
BIN20450	s_asian
BIN20450	e_asian
BIN20450	related
BIN20450	others
BIN20456	white_british
BIN20456	non_british_white
BIN20456	african
BIN20456	related
BIN20456	others
BIN20457	white_british
BIN20457	non_british_white
BIN20463	white_british
BIN20463	non_british_white
BIN20463	african
BIN20463	s_asian
BIN20463	related
BIN20463	others
BIN20466	white_british
BIN20466	non_british_white
BIN20466	related
BIN20466	others
BIN20468	white_british
BIN20468	non_british_white
BIN20468	african
BIN20468	s_asian
BIN20468	related
BIN20468	others
BIN20471	white_british
BIN20471	non_british_white
BIN20471	african
BIN20471	s_asian
BIN20471	related
BIN20471	others
BIN20474	white_british
BIN20474	non_british_white
BIN20474	related
BIN20474	others
BIN20477	white_british
BIN20477	non_british_white
BIN20477	african
BIN20477	related
BIN20477	others
BIN20480	white_british
BIN20480	non_british_white
BIN20480	african
BIN20480	s_asian
BIN20480	related
BIN20480	others
BIN20481	white_british
BIN20481	non_british_white
BIN20481	others
BIN20483	white_british
BIN20483	non_british_white
BIN20483	african
BIN20483	s_asian
BIN20483	related
BIN20483	others
BIN20484	white_british
BIN20486	white_british
BIN20486	non_british_white
BIN20486	african
BIN20486	s_asian
BIN20486	related
BIN20486	others
BIN20496	white_british
BIN20496	non_british_white
BIN20496	african
BIN20496	s_asian
BIN20496	e_asian
BIN20496	related
BIN20496	others
BIN20499	white_british
BIN20499	non_british_white
BIN20499	african
BIN20499	s_asian
BIN20499	e_asian
BIN20499	related
BIN20499	others
BIN20500	white_british
BIN20500	non_british_white
BIN20500	african
BIN20500	s_asian
BIN20500	e_asian
BIN20500	related
BIN20500	others
BIN20501	white_british
BIN20501	non_british_white
BIN20501	african
BIN20501	s_asian
BIN20501	e_asian
BIN20501	related
BIN20501	others
BIN20502	white_british
BIN20502	non_british_white
BIN20502	african
BIN20502	s_asian
BIN20502	e_asian
BIN20502	related
BIN20502	others
BIN20503	white_british
BIN20503	non_british_white
BIN20503	related
BIN20503	others
BIN20504	white_british
BIN20504	non_british_white
BIN20504	related
BIN20504	others
BIN20532	white_british
BIN20532	non_british_white
BIN20532	african
BIN20532	s_asian
BIN20532	e_asian
BIN20532	related
BIN20532	others
BIN20533	white_british
BIN20533	non_british_white
BIN20533	african
BIN20533	s_asian
BIN20533	e_asian
BIN20533	related
BIN20533	others
BIN20534	white_british
BIN20534	non_british_white
BIN20534	african
BIN20534	s_asian
BIN20534	e_asian
BIN20534	related
BIN20534	others
BIN20535	white_british
BIN20535	non_british_white
BIN20535	african
BIN20535	s_asian
BIN20535	e_asian
BIN20535	related
BIN20535	others
BIN20538	white_british
BIN20538	non_british_white
BIN20538	african
BIN20538	s_asian
BIN20538	e_asian
BIN20538	related
BIN20538	others
BIN20540	white_british
BIN20540	non_british_white
BIN20540	african
BIN20540	s_asian
BIN20540	e_asian
BIN20540	related
BIN20540	others
BIN20541	white_british
BIN20541	non_british_white
BIN20541	african
BIN20541	s_asian
BIN20541	e_asian
BIN20541	related
BIN20541	others
BIN20542	white_british
BIN20542	non_british_white
BIN20542	african
BIN20542	s_asian
BIN20542	e_asian
BIN20542	related
BIN20542	others
BIN2090	white_british
BIN2090	non_british_white
BIN2090	african
BIN2090	s_asian
BIN2090	e_asian
BIN2090	related
BIN2090	others
BIN2100	white_british
BIN2100	non_british_white
BIN2100	african
BIN2100	s_asian
BIN2100	e_asian
BIN2100	related
BIN2100	others
BIN21024	white_british
BIN21024	non_british_white
BIN21024	african
BIN21024	s_asian
BIN21024	e_asian
BIN21024	related
BIN21024	others
BIN21026	white_british
BIN21026	non_british_white
BIN21026	african
BIN21026	s_asian
BIN21026	related
BIN21026	others
BIN21027	white_british
BIN21027	non_british_white
BIN21027	african
BIN21027	s_asian
BIN21027	e_asian
BIN21027	related
BIN21027	others
BIN21035	white_british
BIN21035	non_british_white
BIN21035	african
BIN21035	s_asian
BIN21035	e_asian
BIN21035	related
BIN21035	others
BIN21038	white_british
BIN21038	non_british_white
BIN21038	african
BIN21038	s_asian
BIN21038	e_asian
BIN21038	related
BIN21038	others
BIN21062	white_british
BIN21062	non_british_white
BIN21062	african
BIN21062	s_asian
BIN21062	e_asian
BIN21062	related
BIN21062	others
BIN21063	white_british
BIN21063	non_british_white
BIN21063	african
BIN21063	s_asian
BIN21063	e_asian
BIN21063	related
BIN21063	others
BIN21064	white_british
BIN21064	non_british_white
BIN21064	african
BIN21064	s_asian
BIN21064	e_asian
BIN21064	related
BIN21064	others
BIN21065	white_british
BIN21065	non_british_white
BIN21065	african
BIN21065	s_asian
BIN21065	e_asian
BIN21065	related
BIN21065	others
BIN21066	white_british
BIN21066	non_british_white
BIN21066	african
BIN21066	s_asian
BIN21066	related
BIN21066	others
BIN21067	white_british
BIN21067	non_british_white
BIN21067	african
BIN21067	s_asian
BIN21067	e_asian
BIN21067	related
BIN21067	others
BIN21068	white_british
BIN21068	non_british_white
BIN21068	african
BIN21068	s_asian
BIN21068	related
BIN21068	others
BIN21070	white_british
BIN21070	non_british_white
BIN21070	african
BIN21070	s_asian
BIN21070	related
BIN21070	others
BIN21071	white_british
BIN21071	non_british_white
BIN21071	african
BIN21071	s_asian
BIN21071	related
BIN21071	others
BIN21073	white_british
BIN21073	non_british_white
BIN21073	african
BIN21073	s_asian
BIN21073	related
BIN21073	others
BIN21074	white_british
BIN21074	non_british_white
BIN21074	african
BIN21074	s_asian
BIN21074	related
BIN21074	others
BIN21075	white_british
BIN21075	non_british_white
BIN21075	s_asian
BIN21075	related
BIN21075	others
BIN21076	white_british
BIN21076	non_british_white
BIN21076	african
BIN21076	s_asian
BIN21076	related
BIN21076	others
BIN2188	white_british
BIN2188	non_british_white
BIN2188	african
BIN2188	s_asian
BIN2188	e_asian
BIN2188	related
BIN2188	others
BIN2207	white_british
BIN2207	non_british_white
BIN2207	african
BIN2207	s_asian
BIN2207	e_asian
BIN2207	related
BIN2207	others
BIN22126	white_british
BIN22126	non_british_white
BIN22126	african
BIN22126	s_asian
BIN22126	e_asian
BIN22126	related
BIN22126	others
BIN22127	white_british
BIN22127	non_british_white
BIN22127	african
BIN22127	s_asian
BIN22127	e_asian
BIN22127	related
BIN22127	others
BIN22128	white_british
BIN22128	non_british_white
BIN22128	related
BIN22128	others
BIN22129	white_british
BIN22129	non_british_white
BIN22129	s_asian
BIN22129	related
BIN22129	others
BIN22130	white_british
BIN22130	non_british_white
BIN22130	related
BIN22130	others
BIN22132	white_british
BIN22133	white_british
BIN22133	non_british_white
BIN22133	related
BIN22133	others
BIN22134	white_british
BIN22134	non_british_white
BIN22134	related
BIN22134	others
BIN22135	white_british
BIN22136	white_british
BIN22137	white_british
BIN22137	non_british_white
BIN22137	related
BIN22137	others
BIN22139	white_british
BIN22140	white_british
BIN22140	related
BIN22140	others
BIN22502	white_british
BIN22502	non_british_white
BIN22502	african
BIN22502	s_asian
BIN22502	e_asian
BIN22502	related
BIN22502	others
BIN22504	white_british
BIN22504	non_british_white
BIN22504	african
BIN22504	s_asian
BIN22504	related
BIN22504	others
BIN2257	white_british
BIN2257	non_british_white
BIN2257	african
BIN2257	s_asian
BIN2257	e_asian
BIN2257	related
BIN2257	others
BIN23050	white_british
BIN23050	non_british_white
BIN23050	african
BIN23050	s_asian
BIN23050	e_asian
BIN23050	related
BIN23050	others
BIN23051	white_british
BIN23051	non_british_white
BIN23051	african
BIN23051	s_asian
BIN23051	related
BIN23051	others
BIN23052	white_british
BIN23052	non_british_white
BIN23052	african
BIN23052	s_asian
BIN23052	e_asian
BIN23052	related
BIN23052	others
BIN23053	white_british
BIN23053	non_british_white
BIN23053	african
BIN23053	s_asian
BIN23053	related
BIN23053	others
BIN23054	white_british
BIN23054	non_british_white
BIN23054	african
BIN23054	s_asian
BIN23054	e_asian
BIN23054	related
BIN23054	others
BIN23055	white_british
BIN23055	non_british_white
BIN23055	african
BIN23055	s_asian
BIN23055	e_asian
BIN23055	related
BIN23055	others
BIN23056	white_british
BIN23056	non_british_white
BIN23056	african
BIN23056	s_asian
BIN23056	e_asian
BIN23056	related
BIN23056	others
BIN23057	white_british
BIN23057	non_british_white
BIN23057	african
BIN23057	s_asian
BIN23057	e_asian
BIN23057	related
BIN23057	others
BIN23058	white_british
BIN23058	non_british_white
BIN23058	african
BIN23058	s_asian
BIN23058	e_asian
BIN23058	related
BIN23058	others
BIN23059	white_british
BIN23059	non_british_white
BIN23059	african
BIN23059	s_asian
BIN23059	related
BIN23059	others
BIN23060	white_british
BIN23060	non_british_white
BIN23060	african
BIN23060	s_asian
BIN23061	white_british
BIN23062	white_british
BIN23062	non_british_white
BIN23062	african
BIN23062	s_asian
BIN23062	related
BIN23062	others
BIN23063	white_british
BIN23063	non_british_white
BIN23063	related
BIN23063	others
BIN23064	white_british
BIN23065	white_british
BIN23065	non_british_white
BIN23065	african
BIN23065	s_asian
BIN23065	e_asian
BIN23065	related
BIN23065	others
BIN23066	white_british
BIN23066	non_british_white
BIN23066	african
BIN23066	s_asian
BIN23066	e_asian
BIN23066	related
BIN23066	others
BIN23067	white_british
BIN23067	non_british_white
BIN23067	african
BIN23067	s_asian
BIN23067	e_asian
BIN23067	related
BIN23067	others
BIN23068	white_british
BIN23068	non_british_white
BIN23068	african
BIN23068	related
BIN23068	others
BIN23069	white_british
BIN23069	non_british_white
BIN23069	s_asian
BIN23069	related
BIN23069	others
BIN23070	white_british
BIN23070	non_british_white
BIN23070	african
BIN23070	s_asian
BIN23070	related
BIN23070	others
BIN23071	white_british
BIN23071	non_british_white
BIN23071	related
BIN23071	others
BIN23073	white_british
BIN23073	non_british_white
BIN23073	african
BIN23073	s_asian
BIN23073	related
BIN23073	others
BIN23074	white_british
BIN23074	non_british_white
BIN23074	african
BIN23074	s_asian
BIN23074	e_asian
BIN23074	related
BIN23074	others
BIN23075	white_british
BIN23075	non_british_white
BIN23075	related
BIN23075	others
BIN2316	white_british
BIN2316	non_british_white
BIN2316	african
BIN2316	s_asian
BIN2316	e_asian
BIN2316	related
BIN2316	others
BIN2335	white_british
BIN2335	non_british_white
BIN2335	african
BIN2335	s_asian
BIN2335	e_asian
BIN2335	related
BIN2335	others
BIN2415	white_british
BIN2415	non_british_white
BIN2415	african
BIN2415	s_asian
BIN2415	e_asian
BIN2415	related
BIN2415	others
BIN2443	white_british
BIN2443	non_british_white
BIN2443	african
BIN2443	s_asian
BIN2443	e_asian
BIN2443	related
BIN2443	others
BIN2453	white_british
BIN2453	non_british_white
BIN2453	african
BIN2453	s_asian
BIN2453	e_asian
BIN2453	related
BIN2453	others
BIN2463	white_british
BIN2463	non_british_white
BIN2463	african
BIN2463	s_asian
BIN2463	e_asian
BIN2463	related
BIN2463	others
BIN2473	white_british
BIN2473	non_british_white
BIN2473	african
BIN2473	s_asian
BIN2473	e_asian
BIN2473	related
BIN2473	others
BIN2774	white_british
BIN2774	non_british_white
BIN2774	african
BIN2774	s_asian
BIN2774	e_asian
BIN2774	related
BIN2774	others
BIN2814	white_british
BIN2814	non_british_white
BIN2814	african
BIN2814	s_asian
BIN2814	e_asian
BIN2814	related
BIN2814	others
BIN30030510	white_british
BIN30030510	non_british_white
BIN30030510	african
BIN30030510	s_asian
BIN30030510	e_asian
BIN30030510	related
BIN30030510	others
BIN3081	white_british
BIN3081	non_british_white
BIN3081	african
BIN3081	s_asian
BIN3081	e_asian
BIN3081	related
BIN3081	others
BIN3393	white_british
BIN3393	non_british_white
BIN3393	african
BIN3393	s_asian
BIN3393	e_asian
BIN3393	related
BIN3393	others
BIN3404	white_british
BIN3404	non_british_white
BIN3404	african
BIN3404	s_asian
BIN3404	e_asian
BIN3404	related
BIN3404	others
BIN3414	white_british
BIN3414	non_british_white
BIN3414	african
BIN3414	s_asian
BIN3414	e_asian
BIN3414	related
BIN3414	others
BIN3571	white_british
BIN3571	non_british_white
BIN3571	african
BIN3571	s_asian
BIN3571	e_asian
BIN3571	related
BIN3571	others
BIN3591	white_british
BIN3591	non_british_white
BIN3591	african
BIN3591	s_asian
BIN3591	e_asian
BIN3591	related
BIN3591	others
BIN3606	white_british
BIN3606	non_british_white
BIN3606	african
BIN3606	s_asian
BIN3606	e_asian
BIN3606	related
BIN3606	others
BIN3616	white_british
BIN3616	non_british_white
BIN3616	african
BIN3616	s_asian
BIN3616	e_asian
BIN3616	related
BIN3616	others
BIN3741	white_british
BIN3741	non_british_white
BIN3741	african
BIN3741	s_asian
BIN3741	e_asian
BIN3741	related
BIN3741	others
BIN3751	white_british
BIN3751	non_british_white
BIN3751	african
BIN3751	s_asian
BIN3751	e_asian
BIN3751	related
BIN3751	others
BIN3773	white_british
BIN3773	non_british_white
BIN3773	african
BIN3773	s_asian
BIN3773	e_asian
BIN3773	related
BIN3773	others
BIN3799	white_british
BIN3799	non_british_white
BIN3799	african
BIN3799	s_asian
BIN3799	e_asian
BIN3799	related
BIN3799	others
BIN4041	white_british
BIN4041	non_british_white
BIN4041	african
BIN4041	s_asian
BIN4041	related
BIN4041	others
BIN4067	white_british
BIN4067	non_british_white
BIN4067	african
BIN4067	s_asian
BIN4067	related
BIN4067	others
BIN4092	white_british
BIN4092	non_british_white
